PersonId,AttributeKey,AttributeValue
3815,IndReasonLeft,Moved Out of Town
3815,IndAnniversary,2003-05-17T00:00:00.0000000
3817,IndAllergies,None
3817,IndCampus,Sojourn Midtown
3817,IndLimitAccessUser,1
3817,IndFamPosition,Child
3814,IndCampus,Sojourn Midtown
3814,IndFamPosition,Primary Contact
3816,IndCampus,Sojourn Midtown
3816,IndFamPosition,Spouse
3818,IndCampus,Sojourn Midtown
3818,IndFamPosition,Primary Contact
3819,IndCampus,Sojourn Midtown
3819,IndFamPosition,Primary Contact
3821,IndCampus,Sojourn Midtown
3821,IndFamPosition,Primary Contact
3822,IndCampus,Sojourn Midtown
3822,IndFamPosition,Spouse
3823,IndCampus,Sojourn Midtown
3823,IndHowtheyheard,Southern Seminary
3823,IndFamPosition,Primary Contact
3824,IndCampus,Sojourn Midtown
3824,IndFamPosition,Primary Contact
3825,IndCampus,Sojourn Midtown
3825,IndFamPosition,Primary Contact
3826,IndCampus,Sojourn Midtown
3826,IndFamPosition,Primary Contact
3827,IndCampus,Sojourn Midtown
3827,IndFamPosition,Primary Contact
3828,IndCampus,Sojourn Midtown
3828,IndFamPosition,Primary Contact
3829,IndCampus,Sojourn Midtown
3829,IndFamPosition,Primary Contact
3830,IndCampus,Sojourn Midtown
3830,IndLimitAccessUser,1
3830,IndFamPosition,Spouse
3831,IndCampus,Sojourn Midtown
3831,IndBaptized,Baptized
3831,IndLimitAccessUser,1
3831,IndFamPosition,Primary Contact
3832,IndCampus,Sojourn Midtown
3832,IndBaptized,Baptized
3832,IndFamPosition,Spouse
3833,IndCampus,Sojourn Midtown
3833,IndFamPosition,Child
3834,IndCampus,Sojourn Midtown
3834,IndFamPosition,Child
3835,IndCampus,Sojourn Midtown
3835,IndFamPosition,Primary Contact
3836,IndCampus,Sojourn Midtown
3836,IndFamPosition,Spouse
3837,IndCampus,Sojourn Midtown
3837,IndFamPosition,Child
3838,IndCampus,Sojourn Midtown
3838,IndFamPosition,Primary Contact
3839,IndCampus,Sojourn Midtown
3839,IndFamPosition,Child
3840,IndCampus,Sojourn Midtown
3840,IndFamPosition,Primary Contact
3841,IndAllergies,"Asthma, Tomatos, Hea"
3841,IndCampus,Sojourn Midtown
3841,IndFamPosition,Child
3842,IndAllergies,Milk Allergy - Soy p
3842,IndCampus,Sojourn Midtown
3842,IndFamPosition,Child
3843,IndCampus,Sojourn Midtown
3843,IndFamPosition,Primary Contact
3844,MembershipDate,2007-09-26T00:00:00.0000000
3844,IndWorkTitle,Medicare Pricer Clai
3844,IndCampus,Sojourn Midtown
3844,IndSpiritualMaturity,Leading
3844,IndBaptized,Baptized
3844,IndFamPosition,Primary Contact
3844,IndReasonLeft,Moved Out of Town
3844,IndAnniversary,2003-05-24T00:00:00.0000000
3845,MembershipDate,2007-09-26T00:00:00.0000000
3845,IndCampus,Sojourn Midtown
3845,IndSpiritualMaturity,Stable
3845,IndBaptized,Baptized
3845,IndFamPosition,Spouse
3845,IndReasonLeft,Moved Out of Town
3845,IndAnniversary,2003-05-24T00:00:00.0000000
3846,IndCampus,Sojourn Midtown
3846,IndFamPosition,Child
3847,IndCampus,Sojourn Midtown
3847,IndFamPosition,Child
3848,IndCampus,Sojourn Midtown
3848,IndFamPosition,Child
3849,IndCampus,Sojourn Midtown
3849,IndFamPosition,Child
3850,IndCampus,Sojourn Midtown
3850,IndFamPosition,Primary Contact
3851,IndCampus,Sojourn Midtown
3851,IndFamPosition,Primary Contact
3852,MembershipDate,2005-12-01T00:00:00.0000000
3852,IndCampus,Sojourn Midtown
3852,IndMilitary,None
3852,IndAgeBracket,25 - 34
3852,IndSpiritualMaturity,Leading
3852,IndBaptized,Baptized
3852,IndFamPosition,Primary Contact
3852,IndAnniversary,1999-06-26T00:00:00.0000000
3880,MembershipDate,2005-12-01T00:00:00.0000000
3880,IndCampus,Sojourn Midtown
3880,IndAgeBracket,25 - 34
